date,status,country
"Dec. 6, 2015",Held,Bolivarian Republic of Venezuela
"Dec. 3, 2015",Held,Republic of Seychelles
"Dec. 3, 2015",Held,Kingdom of Denmark
"Nov. 29, 2015",Postponed,Burkina Faso
"Nov. 29, 2015",Postponed,Burkina Faso
"Nov. 26, 2015",Held,Gibraltar
"Nov. 22, 2015",Held,Arab Republic of Egypt
"Nov. 22, 2015",Held,Argentine Republic
"Nov. 16, 2015",Held,Republic of the Marshall Islands
"Nov. 8, 2015",Held,Union of Myanmar
"Nov. 8, 2015",Held,Union of Myanmar
"Nov. 8, 2015",Held,Republic of Croatia
"Nov. 4, 2015",Held,Belize
"Nov. 1, 2015",Held,Republic of Azerbaijan
"Nov. 1, 2015",Snap,Republic of Turkey
"Oct. 25, 2015",Held,United Republic of Tanzania
"Oct. 25, 2015",Held,Republic of Haiti
"Oct. 25, 2015",Held,Republic of Haiti
"Oct. 25, 2015",Held,Republic of Poland
"Oct. 25, 2015",Held,Argentine Republic
"Oct. 25, 2015",Held,United Republic of Tanzania
"Oct. 25, 2015",Held,Argentine Republic
"Oct. 25, 2015",Held,Republic of Côte d'Ivoire
"Oct. 25, 2015",Held,Sultanate of Oman
"Oct. 25, 2015",Held,Republic of Guatemala
"Oct. 25, 2015",Held,Republic of Poland
"Oct. 25, 2015",Confirmed,Republic of Haiti
"Oct. 25, 2015",Held,Argentine Republic
"Oct. 25, 2015",Held,Republic of the Congo
"Oct. 19, 2015",Held,Canada
"Oct. 18, 2015",Confirmed,Arab Republic of Egypt
"Oct. 18, 2015",Held,Swiss Confederation
"Oct. 18, 2015",Held,Swiss Confederation
"Oct. 11, 2015",Held,Republic of Belarus
"Oct. 11, 2015",Held,Republic of Guinea
"Oct. 4, 2015",Held,Portuguese Republic
"Oct. 4, 2015",Held,Kyrgyz Republic
"Oct. 3, 2015",Held,United Arab Emirates
"Sept. 27, 2015",Held,Catalunya (Comunitat autònoma d'Espanya)
"Sept. 20, 2015",Held,Hellenic Republic
"Sept. 11, 2015",Held,Republic of Singapore
"Sept. 7, 2015",Held,Republic of Trinidad and Tobago
"Sept. 6, 2015",Held,Republic of Guatemala
"Sept. 6, 2015",Held,Republic of Guatemala
"Sept. 6, 2015",Held,Republic of Poland
"Sept. 1, 2015",Held,Faroe Islands
"Aug. 17, 2015",Held,Democratic Socialist Republic of Sri Lanka
"Aug. 9, 2015",Held,Republic of Haiti
"Aug. 9, 2015",Held,Republic of Haiti
"July 24, 2015",Held,Republic of Burundi
"July 21, 2015",Held,Republic of Burundi
"July 5, 2015",Held,Hellenic Republic
"June 29, 2015",Held,Republic of Burundi
"June 18, 2015",Held,Kingdom of Denmark
"June 14, 2015",Held,Swiss Confederation
"June 8, 2015",Held,British Virgin Islands
"June 7, 2015",Held,United Mexican States
"June 7, 2015",Held,Republic of Turkey
"June 7, 2015",Held,Grand Duchy of Luxembourg
"May 25, 2015",Held,Republic of Suriname
"May 24, 2015",Held,Republic of Poland
"May 24, 2015",Held,Federal Democratic Republic of Ethiopia
"May 22, 2015",Held,Ireland
"May 22, 2015",Held,Ireland
"May 11, 2015",Held,Cooperative Republic of Guyana
"May 10, 2015",Held,Republic of Poland
"May 7, 2015",Held,United Kingdom of Great Britain and Northern Ireland
"April 26, 2015",Held,Republic of Benin
"April 26, 2015",Held,Republic of Kazakhstan
"April 25, 2015",Held,Togolese Republic
"April 22, 2015",Held,Anguilla
"April 19, 2015",Held,Republic of Finland
"April 13, 2015",Held,Republic of the Sudan
"April 13, 2015",Held,Republic of the Sudan
"April 11, 2015",Held,Republic of Malta
"March 31, 2015",Held,Tuvalu
"March 29, 2015",Held,Republic of Uzbekistan
"March 28, 2015",Held,Federal Republic of Nigeria
"March 28, 2015",Held,Federal Republic of Nigeria
"March 28, 2015",Held,Federal Republic of Nigeria
"March 22, 2015",Held,Autonomous Community of Andalusia
"March 17, 2015",Held,State of Israel
"March 8, 2015",Held,Swiss Confederation
"March 3, 2015",Held,Federated States Of Micronesia
"March 1, 2015",Held,Republic of El Salvador
"March 1, 2015",Held,Principality of Andorra
"March 1, 2015",Held,Republic of Tajikistan
"March 1, 2015",Held,Republic of Estonia
"Feb. 28, 2015",Snap,Kingdom of Lesotho
"Feb. 22, 2015",Held,Union of the Comoros
"Feb. 18, 2015",Held,Hellenic Republic
"Feb. 16, 2015",Held,Federation of Saint Kitts and Nevis
"Feb. 7, 2015",Held,Slovak Republic
"Jan. 25, 2015",Held,Union of the Comoros
"Jan. 25, 2015",Held,Hellenic Republic
"Jan. 20, 2015",Held,Republic of Zambia
"Jan. 11, 2015",Held,Republic of Croatia
"Jan. 8, 2015",Held,Democratic Socialist Republic of Sri Lanka
"Jan. 4, 2015",Held,Republic of Uzbekistan
"Dec. 29, 2014",Held,Hellenic Republic
"Dec. 28, 2014",Held,Republic of Croatia
"Dec. 23, 2014",Held,Hellenic Republic
"Dec. 21, 2014",Held,Tunisian Republic
"Dec. 21, 2014",Held,Republic of Uzbekistan
"Dec. 20, 2014",Held,Republic of Liberia
"Dec. 17, 2014",Held,Hellenic Republic
"Dec. 14, 2014",Held,Japan
"Dec. 10, 2014",Held,Republic of Mauritius
"Dec. 8, 2014",Held,Commonwealth of Dominica
"Nov. 30, 2014",Held,Oriental Republic of Uruguay
"Nov. 30, 2014",Held,Republic of Moldova
"Nov. 30, 2014",Held,Swiss Confederation
"Nov. 28, 2014",Held,Greenland
"Nov. 28, 2014",Held,Republic of Namibia
"Nov. 28, 2014",Held,Republic of Namibia
"Nov. 27, 2014",Held,Kingdom of Tonga
"Nov. 23, 2014",Held,Tunisian Republic
"Nov. 22, 2014",Held,Kingdom of Bahrain
"Nov. 19, 2014",Held,Solomon Islands
"Nov. 16, 2014",Held,Romania
"Nov. 4, 2014",Held,American Samoa
"Nov. 4, 2014",Held,United States of America
"Nov. 4, 2014",Held,American Samoa
"Nov. 4, 2014",Held,Territory of Guam
"Nov. 4, 2014",Held,American Samoa
"Nov. 4, 2014",Held,United States of America
"Nov. 4, 2014",Held,Territory of Guam
"Nov. 2, 2014",Held,Romania
"Oct. 26, 2014",Held,Oriental Republic of Uruguay
"Oct. 26, 2014",Held,Ukraine
"Oct. 26, 2014",Held,Tunisian Republic
"Oct. 26, 2014",Held,Federative Republic of Brazil
"Oct. 26, 2014",Held,Oriental Republic of Uruguay
"Oct. 26, 2014",Held,Oriental Republic of Uruguay
"Oct. 24, 2014",Held,Republic of Bostwana
"Oct. 15, 2014",Held,Republic of Mozambique
"Oct. 15, 2014",Held,Republic of Mozambique
"Oct. 12, 2014",Held,Bosnia and Herzegovina
"Oct. 12, 2014",Held,Plurinational State of Bolivia
"Oct. 12, 2014",Held,Plurinational State of Bolivia
"Oct. 12, 2014",Held,Plurinational State of Bolivia
"Oct. 12, 2014",Held,Bosnia and Herzegovina
"Oct. 12, 2014",Held,Bosnia and Herzegovina
"Oct. 5, 2014",Held,Federative Republic of Brazil
"Oct. 5, 2014",Held,Republic of Bulgaria
"Oct. 5, 2014",Held,Federative Republic of Brazil
"Oct. 5, 2014",Held,Federative Republic of Brazil
"Oct. 4, 2014",Held,Republic of Latvia
"Oct. 1, 2014",Held,Republic of Kazakhstan
"Sept. 28, 2014",Held,Swiss Confederation
"Sept. 20, 2014",Held,New Zealand
"Sept. 18, 2014",Held,Scotland
"Sept. 17, 2014",Held,Republic of Fiji
"Sept. 14, 2014",Held,Kingdom of Sweden
"Sept. 11, 2014",Held,Montserrat
"Aug. 29, 2014",Held,Country of Sint Maarten
"Aug. 10, 2014",Held,Republic of Turkey
"July 13, 2014",Held,Republic of Slovenia
"July 9, 2014",Held,Republic of Indonesia
"July 9, 2014",Held,Cook Islands
"June 29, 2014",Held,Republic of Lithuania
"June 25, 2014",Held,Libya
"June 21, 2014",Held,Islamic Republic of Mauritania
"June 15, 2014",Held,Republic of Colombia
"June 14, 2014",Held,Islamic Republic of Afghanistan
"June 12, 2014",Held,Antigua and Barbuda
"June 8, 2014",Held,Republic of Kosovo
"June 3, 2014",Held,Syrian Arab Republic
"May 26, 2014",Held,Arab Republic of Egypt
"May 25, 2014",Held,Kingdom of Belgium
"May 25, 2014",Held,Kingdom of Denmark
"May 25, 2014",Held,Republic of Colombia
"May 25, 2014",Held,Republic of Lithuania
"May 25, 2014",Held,Ukraine
"May 22, 2014",Held,European Union
"May 20, 2014",Held,Republic of Malawi
"May 20, 2014",Held,Republic of Malawi
"May 18, 2014",Held,Swiss Confederation
"May 18, 2014",Held,Republic of Guinea-Bissau
"May 11, 2014",Held,Republic of Lithuania
"May 11, 2014",Held,Territory of New Caledonia and Dependencies
"May 7, 2014",Held,Republic of South Africa
"May 4, 2014",Held,Republic of Panama
"May 4, 2014",Held,Republic of Panama
"April 30, 2014",Held,Republic of Iraq
"April 27, 2014",Held,Republic of North Macedonia
"April 27, 2014",Held,Republic of North Macedonia
"April 17, 2014",Held,People's Democratic Republic of Algeria
"April 13, 2014",Held,Republic of Guinea-Bissau
"April 13, 2014",Held,Republic of North Macedonia
"April 13, 2014",Held,Republic of Guinea-Bissau
"April 12, 2014",Held,Niue
"April 9, 2014",Held,Republic of Indonesia
"April 9, 2014",Held,Republic of Indonesia
"April 7, 2014",Held,Republic of India
"April 6, 2014",Held,Hungary
"April 6, 2014",Held,Republic of Costa Rica
"April 5, 2014",Held,Islamic Republic of Afghanistan
"March 29, 2014",Held,Slovak Republic
"March 22, 2014",Held,Republic of Maldives
"March 16, 2014",Held,Republic of Serbia
"March 15, 2014",Held,Slovak Republic
"March 9, 2014",Held,Republic of Colombia
"March 9, 2014",Held,Republic of Colombia
"March 9, 2014",Held,Republic of El Salvador
"Feb. 20, 2014",Held,Libya
"Feb. 9, 2014",Held,Swiss Confederation
"Feb. 2, 2014",Held,Kingdom of Thailand
"Feb. 2, 2014",Held,Republic of Costa Rica
"Feb. 2, 2014",Held,Republic of Costa Rica
"Feb. 2, 2014",Held,Republic of El Salvador
"Jan. 14, 2014",Held,Arab Republic of Egypt
"Jan. 5, 2014",Held,People's Republic of Bangladesh
"Dec. 21, 2013",Held,Islamic Republic of Mauritania
"Dec. 20, 2013",Held,Republic of Madagascar
"Dec. 20, 2013",Held,Republic of Madagascar
"Dec. 15, 2013",Held,Republic of Chile
"Dec. 15, 2013",Held,Republic of Mali
"Dec. 15, 2013",Held,Turkmenistan
"Dec. 1, 2013",Held,Republic of Croatia
"Nov. 24, 2013",Held,Swiss Confederation
"Nov. 24, 2013",Held,Republic of Honduras
"Nov. 24, 2013",Held,Republic of Mali
"Nov. 24, 2013",Held,Republic of Honduras
"Nov. 23, 2013",Held,Islamic Republic of Mauritania
"Nov. 22, 2013",Held,New Zealand
"Nov. 19, 2013",Held,Federal Democratic Republic of Nepal
"Nov. 17, 2013",Held,Republic of Chile
"Nov. 17, 2013",Held,Republic of Chile
"Nov. 17, 2013",Held,Republic of Chile
"Nov. 16, 2013",Held,Republic of Maldives
"Nov. 9, 2013",Held,Republic of Maldives
"Nov. 7, 2013",Held,Falkland Islands (Malvinas)
"Nov. 6, 2013",Held,Republic of Tajikistan
"Oct. 27, 2013",Held,Argentine Republic
"Oct. 27, 2013",Held,Georgia
"Oct. 27, 2013",Held,Argentine Republic
"Oct. 25, 2013",Held,Republic of Madagascar
"Oct. 25, 2013",Held,Czech Republic
"Oct. 20, 2013",Held,Republic of San Marino
"Oct. 20, 2013",Held,Grand Duchy of Luxembourg
"Oct. 19, 2013",Cancelled,Republic of Maldives
"Oct. 9, 2013",Held,Republic of Azerbaijan
"Oct. 7, 2013",Held,Federal Democratic Republic of Ethiopia
"Oct. 4, 2013",Held,Ireland
"Sept. 30, 2013",Held,Republic of Cameroon
"Sept. 29, 2013",Held,Republic of Austria
"Sept. 28, 2013",Held,Republic of Guinea
"Sept. 27, 2013",Held,Aruba
"Sept. 22, 2013",Held,Swiss Confederation
"Sept. 22, 2013",Held,Federal Republic of Germany
"Sept. 20, 2013",Held,Kingdom of Swaziland
"Sept. 16, 2013",Held,Republic of Rwanda
"Sept. 15, 2013",Held,Macau Special Administrative Region
"Sept. 9, 2013",Held,Kingdom of Norway
"Sept. 7, 2013",Held,Commonwealth of Australia
"Sept. 7, 2013",Held,Republic of Maldives
"Sept. 7, 2013",Held,Commonwealth of Australia
"Aug. 11, 2013",Held,Republic of Mali
"July 31, 2013",Held,Republic of Zimbabwe
"July 31, 2013",Held,Republic of Zimbabwe
"July 31, 2013",Held,Republic of Zimbabwe
"July 30, 2013",Held,Islamic Republic of Pakistan
"July 28, 2013",Held,Republic of Mali
"July 28, 2013",Held,Turkish Republic of Northern Cyprus (TRNC)
"July 28, 2013",Held,Kingdom of Cambodia
"July 27, 2013",Held,State of Kuwait
"July 25, 2013",Held,Togolese Republic
"July 21, 2013",Held,Japan
"July 17, 2013",Held,Saint Helena
"July 13, 2013",Held,Kingdom of Bhutan
"June 26, 2013",Held,Mongolia
"June 23, 2013",Held,Republic of Albania
"June 14, 2013",Held,Islamic Republic of Iran
"June 9, 2013",Held,Swiss Confederation
"June 8, 2013",Held,Republic of Nauru
"May 31, 2013",Held,Kingdom of Bhutan
"May 26, 2013",Held,Republic of Equatorial Guinea
"May 26, 2013",Held,Republic of Equatorial Guinea
"May 22, 2013",Held,Cayman Islands
"May 13, 2013",Held,Republic of the Philippines
"May 13, 2013",Held,Republic of the Philippines
"May 12, 2013",Held,Republic of Bulgaria
"May 11, 2013",Held,Islamic Republic of Pakistan
"May 5, 2013",Held,Overseas Lands of French Polynesia
"May 5, 2013",Held,Malaysia
"April 27, 2013",Held,Republic of Iceland
"April 23, 2013",Held,Kingdom of Bhutan
"April 22, 2013",Held,People's Republic of Bangladesh
"April 21, 2013",Held,Republic of Paraguay
"April 21, 2013",Held,Overseas Lands of French Polynesia
"April 21, 2013",Held,Republic of Paraguay
"April 21, 2013",Held,Republic of Paraguay
"April 20, 2013",Held,Italian Republic
"April 14, 2013",Snap,Bolivarian Republic of Venezuela
"April 14, 2013",Held,Republic of Cameroon
"April 7, 2013",Held,Montenegro
"March 16, 2013",Held,Republic of Zimbabwe
"March 12, 2013",Held,Greenland
"March 10, 2013",Held,Falkland Islands (Malvinas)
"March 9, 2013",Held,Republic of Malta
"March 5, 2013",Held,Federated States Of Micronesia
"March 4, 2013",Held,Republic of Kenya
"March 4, 2013",Held,Republic of Kenya
"March 4, 2013",Held,Republic of Kenya
"March 3, 2013",Held,Swiss Confederation
"Feb. 24, 2013",Held,Italian Republic
"Feb. 24, 2013",Held,Republic of Cyprus
"Feb. 24, 2013",Held,Italian Republic
"Feb. 22, 2013",Held,Republic of Djibouti
"Feb. 21, 2013",Held,Barbados
"Feb. 19, 2013",Held,Grenada
"Feb. 18, 2013",Held,Republic of Armenia
"Feb. 17, 2013",Held,Republic of Cyprus
"Feb. 17, 2013",Held,Republic of Ecuador
"Feb. 17, 2013",Held,Republic of Ecuador
"Feb. 15, 2013",Held,Republic of Trinidad and Tobago
"Feb. 10, 2013",Held,Principality of Monaco
"Feb. 3, 2013",Held,Republic of Cuba
"Feb. 3, 2013",Held,Principality of Liechtenstein
"Jan. 27, 2013",Held,Republic of Bulgaria
"Jan. 25, 2013",Held,Czech Republic
"Jan. 23, 2013",Held,Hashemite Kingdom of Jordan
"Jan. 22, 2013",Snap,State of Israel
"Jan. 20, 2013",Held,Republic of Austria
"Jan. 11, 2013",Held,Czech Republic
"Dec. 19, 2012",Held,Republic of Korea
"Dec. 17, 2012",Held,Bermuda
"Dec. 16, 2012",Snap,Japan
"Dec. 15, 2012",Held,Arab Republic of Egypt
"Dec. 9, 2012",Held,Romania
"Dec. 9, 2012",Held,Romania
"Dec. 7, 2012",Held,Republic of Ghana
"Dec. 7, 2012",Held,Republic of Ghana
"Dec. 2, 2012",Held,Republic of Slovenia
"Dec. 2, 2012",Held,Burkina Faso
"Dec. 1, 2012",Held,State of Kuwait
"Nov. 25, 2012",Held,Catalunya (Comunitat autònoma d'Espanya)
"Nov. 17, 2012",Held,Republic of Sierra Leone
"Nov. 17, 2012",Held,Republic of Sierra Leone
"Nov. 11, 2012",Held,Republic of Slovenia
"Nov. 11, 2012",Held,Republic of San Marino
"Nov. 10, 2012",Held,Ireland
"Nov. 9, 2012",Held,Turks and Caicos Islands
"Nov. 6, 2012",Held,Republic of Palau
"Nov. 6, 2012",Held,Commonwealth of Puerto Rico
"Nov. 6, 2012",Held,Commonwealth of Puerto Rico
"Nov. 6, 2012",Held,Commonwealth of Puerto Rico
"Nov. 6, 2012",Held,Republic of Palau
"Nov. 6, 2012",Held,United States of America
"Nov. 6, 2012",Held,Republic of Palau
"Nov. 6, 2012",Held,United States of America
"Nov. 6, 2012",Held,United States of America
"Oct. 30, 2012",Held,Republic of Vanuatu
"Oct. 28, 2012",Held,Ukraine
"Oct. 21, 2012",Held,Autonomous Community of Galicia
"Oct. 21, 2012",Held,Basque Country
"Oct. 20, 2012",Held,Republic of Iceland
"Oct. 19, 2012",Held,Czech Republic
"Oct. 14, 2012",Held,Montenegro
"Oct. 14, 2012",Held,Republic of Lithuania
"Oct. 14, 2012",Held,Republic of Lithuania
"Oct. 7, 2012",Held,Bolivarian Republic of Venezuela
"Oct. 1, 2012",Held,Georgia
"Sept. 26, 2012",Held,Republic of Palau
"Sept. 23, 2012",Held,Republic of Belarus
"Sept. 23, 2012",Held,Swiss Confederation
"Sept. 12, 2012",Held,Kingdom of the Netherlands
"Sept. 9, 2012",Held,Hong Kong Special Administrative Region
"Aug. 31, 2012",Held,Republic of Angola
"July 29, 2012",Held,Romania
"July 29, 2012",Held,Republic of the Congo
"July 15, 2012",Held,Republic of the Congo
"July 7, 2012",Held,Libya
"July 7, 2012",Held,Democratic Republic of Timor-Leste
"July 1, 2012",Held,United Mexican States
"July 1, 2012",Held,Principality of Liechtenstein
"July 1, 2012",Held,United Mexican States
"July 1, 2012",Held,United Mexican States
"June 30, 2012",Held,Republic of Iceland
"June 28, 2012",Held,Mongolia
"June 23, 2012",Held,Independent State of Papua New Guinea
"June 17, 2012",Held,French Republic
"June 17, 2012",Snap,Hellenic Republic
"June 16, 2012",Held,Arab Republic of Egypt
"June 10, 2012",Held,French Republic
"May 31, 2012",Held,Ireland
"May 26, 2012",Held,Kingdom of Lesotho
"May 20, 2012",Held,Republic of Serbia
"May 20, 2012",Held,Dominican Republic
"May 10, 2012",Held,People's Democratic Republic of Algeria
"May 7, 2012",Held,Syrian Arab Republic
"May 7, 2012",Held,Commonwealth of the Bahamas
"May 6, 2012",Held,Republic of Armenia
"May 6, 2012",Held,Republic of Serbia
"May 6, 2012",Held,Hellenic Republic
"May 6, 2012",Held,French Republic
"May 6, 2012",Held,Republic of Serbia
"May 2, 2012",Held,Hungary
"April 29, 2012",Cancelled,Republic of Guinea-Bissau
"April 22, 2012",Held,French Republic
"April 16, 2012",Held,Democratic Republic of Timor-Leste
"April 11, 2012",Held,Republic of Korea
"April 1, 2012",Held,Union of Myanmar
"April 1, 2012",Held,Union of Myanmar
"March 29, 2012",Held,Republic of The Gambia
"March 25, 2012",Held,Republic of Senegal
"March 25, 2012",Held,Republic of Slovenia
"March 25, 2012",Held,Autonomous Community of Andalusia
"March 18, 2012",Moved Up/ Snap,Republic of Guinea-Bissau
"March 18, 2012",Held,Federal Republic of Germany
"March 17, 2012",Held,Democratic Republic of Timor-Leste
"March 11, 2012",Held,Republic of El Salvador
"March 11, 2012",Held,Swiss Confederation
"March 10, 2012",Held,Slovak Republic
"March 7, 2012",Held,Belize
"March 4, 2012",Held,Russian Federation
"March 2, 2012",Held,Islamic Republic of Iran
"Feb. 26, 2012",Held,Republic of Senegal
"Feb. 26, 2012",Held,Syrian Arab Republic
"Feb. 21, 2012",Held,Republic of Yemen
"Feb. 18, 2012",Held,Republic of Latvia
"Feb. 14, 2012",Held,Arab Republic of Egypt
"Feb. 12, 2012",Held,Turkmenistan
"Feb. 5, 2012",Held,Republic of Finland
"Feb. 2, 2012",Held,State of Kuwait
"Jan. 29, 2012",Held,Arab Republic of Egypt
"Jan. 22, 2012",Held,Republic of Finland
"Jan. 22, 2012",Held,Republic of Croatia
"Jan. 15, 2012",Held,Republic of Kazakhstan
"Jan. 14, 2012",Held,Republic of China
"Jan. 14, 2012",Held,Republic of China
"Jan. 13, 2012",Held,Republic of Kiribati
"Dec. 29, 2011",Held,Jamaica
"Dec. 17, 2011",Held,Gabonese Republic
"Dec. 14, 2011",Held,Arab Republic of Egypt
"Dec. 12, 2011",Held,"Pitcairn, Henderson, Ducie, and Oeno Islands"
"Dec. 11, 2011",Held,Republic of Côte d'Ivoire
"Dec. 8, 2011",Held,Gibraltar
"Dec. 4, 2011",Held,Russian Federation
"Dec. 4, 2011",Held,Republic of Croatia
"Dec. 4, 2011",Snap,Republic of Slovenia
"Nov. 28, 2011",Held,Saint Lucia
"Nov. 28, 2011",Held,Democratic Republic of the Congo
"Nov. 28, 2011",Held,Arab Republic of Egypt
"Nov. 28, 2011",Held,Cooperative Republic of Guyana
"Nov. 28, 2011",Held,Democratic Republic of the Congo
"Nov. 26, 2011",Held,New Zealand
"Nov. 26, 2011",Held,New Zealand
"Nov. 25, 2011",Held,Kingdom of Morocco
"Nov. 24, 2011",Held,Republic of The Gambia
"Nov. 21, 2011",Held,Republic of the Marshall Islands
"Nov. 20, 2011",Held,Kingdom of Spain
"Nov. 20, 2011",Held,Kingdom of Spain
"Nov. 8, 2011",Held,Republic of Liberia
"Nov. 7, 2011",Held,British Virgin Islands
"Nov. 6, 2011",Held,Republic of Guatemala
"Nov. 6, 2011",Held,Republic of Nicaragua
"Nov. 6, 2011",Held,Republic of Nicaragua
"Oct. 30, 2011",Held,Republic of Bulgaria
"Oct. 30, 2011",Held,Kyrgyz Republic
"Oct. 29, 2011",Moved Up/ Snap,Faroe Islands
"Oct. 28, 2011",Held,Republic of Kiribati
"Oct. 27, 2011",Held,Ireland
"Oct. 27, 2011",Held,Ireland
"Oct. 23, 2011",Held,Republic of Bulgaria
"Oct. 23, 2011",Confirmed,Swiss Confederation
"Oct. 23, 2011",Held,Argentine Republic
"Oct. 23, 2011",Held,Swiss Confederation
"Oct. 23, 2011",Held,Argentine Republic
"Oct. 23, 2011",Held,Argentine Republic
"Oct. 23, 2011",Held,Tunisian Republic
"Oct. 21, 2011",Held,Republic of Kiribati
"Oct. 15, 2011",Held,Sultanate of Oman
"Oct. 11, 2011",Held,Republic of Liberia
"Oct. 11, 2011",Held,Republic of Liberia
"Oct. 11, 2011",Held,Republic of Liberia
"Oct. 9, 2011",Held,Republic of Paraguay
"Oct. 9, 2011",Held,Republic of Poland
"Oct. 9, 2011",Held,Republic of Cameroon
"Oct. 9, 2011",Held,Republic of Poland
"Sept. 29, 2011",Held,Republic of Seychelles
"Sept. 24, 2011",Snap,Kingdom of Bahrain
"Sept. 24, 2011",Held,United Arab Emirates
"Sept. 20, 2011",Held,Republic of Zambia
"Sept. 20, 2011",Held,Republic of Zambia
"Sept. 17, 2011",Snap,Republic of Latvia
"Sept. 15, 2011",Snap,Kingdom of Denmark
"Sept. 11, 2011",Held,Republic of Guatemala
"Sept. 11, 2011",Held,Republic of Guatemala
"Aug. 27, 2011",Held,Republic of Singapore
"Aug. 23, 2011",Held,Republic of Liberia
"Aug. 21, 2011",Held,Republic of Cabo Verde
"Aug. 7, 2011",Held,Republic of Cabo Verde
"Aug. 7, 2011",Held,Democratic Republic of Sao Tome and Principe
"July 23, 2011",Held,Republic of Latvia
"July 17, 2011",Held,Democratic Republic of Sao Tome and Principe
"July 3, 2011",Held,Kingdom of Thailand
"July 3, 2011",Held,Kingdom of Thailand
"July 1, 2011",Snap,Kingdom of Morocco
"June 22, 2011",Held,Republic of Palau
"June 17, 2011",Held,Principality of Liechtenstein
"June 12, 2011",Held,Republic of Turkey
"June 12, 2011",Held,Italian Republic
"June 5, 2011",Snap,Republic of North Macedonia
"June 5, 2011",Held,Republic of Slovenia
"June 5, 2011",Held,Republic of Peru
"June 5, 2011",Snap,Portuguese Republic
"May 28, 2011",Held,Republic of Malta
"May 22, 2011",Held,Socialist Republic of Vietnam
"May 22, 2011",Held,Republic of Cyprus
"May 19, 2011",Held,Republic of Seychelles
"May 11, 2011",Held,Northern Ireland
"May 7, 2011",Held,Republic of Singapore
"May 7, 2011",Held,Republic of Ecuador
"May 6, 2011",Held,Wales
"May 5, 2011",Held,United Kingdom of Great Britain and Northern Ireland
"May 5, 2011",Held,Scotland
"May 2, 2011",Snap,Canada
"April 30, 2011",Held,Lao People's Democratic Republic
"April 30, 2011",Held,Republic of Benin
"April 25, 2011",Held,Republic of Chad
"April 17, 2011",Held,Republic of Finland
"April 16, 2011",Held,Federal Republic of Nigeria
"April 10, 2011",Held,Republic of Peru
"April 10, 2011",Held,Republic of Peru
"April 9, 2011",Held,Republic of Iceland
"April 9, 2011",Held,Federal Republic of Nigeria
"April 9, 2011",Held,Federal Republic of Nigeria
"April 8, 2011",Held,Republic of Djibouti
"April 3, 2011",Held,Principality of Andorra
"April 3, 2011",Held,Republic of Kazakhstan
"April 1, 2011",Postponed,Syrian Arab Republic
"March 27, 2011",Held,Central African Republic
"March 27, 2011",Held,Republic of San Marino
"March 20, 2011",Moved up,Republic of Haiti
"March 20, 2011",Held,Republic of Haiti
"March 20, 2011",Moved up,Republic of Haiti
"March 19, 2011",Held,Arab Republic of Egypt
"March 13, 2011",Held,Republic of Benin
"March 12, 2011",Held,Republic of Niger
"March 8, 2011",Held,Federated States Of Micronesia
"March 6, 2011",Held,Republic of Estonia
"March 4, 2011",Held,Independent State of Samoa
"March 3, 2011",Held,Wales
"Feb. 25, 2011",Snap,Ireland
"Feb. 18, 2011",Held,Republic of Uganda
"Feb. 18, 2011",Held,Republic of Uganda
"Feb. 13, 2011",Held,Republic of Chad
"Feb. 13, 2011",Held,Swiss Confederation
"Feb. 6, 2011",Held,Republic of Cabo Verde
"Jan. 31, 2011",Held,Republic of Niger
"Jan. 31, 2011",Held,Republic of Niger
"Jan. 23, 2011",Held,Central African Republic
"Jan. 23, 2011",Held,Central African Republic
"Jan. 23, 2011",Held,Portuguese Republic
"Jan. 9, 2011",Postponed,Republic of the Sudan
"Jan. 9, 2011",Held,Republic of the Sudan
"Dec. 26, 2010",Held,Union of the Comoros
"Dec. 19, 2010",Held,Republic of Belarus
"Dec. 13, 2010",Held,Saint Vincent and the Grenadines
"Dec. 12, 2010",Snap,Republic of Kosovo
"Dec. 5, 2010",Held,Arab Republic of Egypt
"Nov. 28, 2010",Held,Republic of Haiti
"Nov. 28, 2010",Held,Arab Republic of Egypt
"Nov. 28, 2010",Held,Republic of Moldova
"Nov. 28, 2010",Held,Catalunya (Comunitat autònoma d'Espanya)
"Nov. 28, 2010",Held,Republic of Haiti
"Nov. 28, 2010",Tentative,Republic of Haiti
"Nov. 28, 2010",Held,Republic of Côte d'Ivoire
"Nov. 25, 2010",Snap,Kingdom of Tonga
"Nov. 21, 2010",Held,Burkina Faso
"Nov. 17, 2010",Held,Cook Islands
"Nov. 17, 2010",Held,Cook Islands
"Nov. 17, 2010",Held,Republic of Madagascar
"Nov. 9, 2010",Snap,Hashemite Kingdom of Jordan
"Nov. 7, 2010",Held,Republic of Azerbaijan
"Nov. 7, 2010",Held,Union of the Comoros
"Nov. 7, 2010",Held,Union of Myanmar
"Nov. 7, 2010",Moved up,Republic of Guinea
"Nov. 7, 2010",Held,Union of Myanmar
"Nov. 2, 2010",Held,United States of America
"Nov. 2, 2010",Held,United States of America
"Oct. 31, 2010",Held,Republic of Niger
"Oct. 31, 2010",Held,Federative Republic of Brazil
"Oct. 31, 2010",Held,United Republic of Tanzania
"Oct. 31, 2010",Held,Republic of Côte d'Ivoire
"Oct. 31, 2010",Held,United Republic of Tanzania
"Oct. 23, 2010",Held,Kingdom of Bahrain
